time,value
1698307756.4995463,2.72
1698307769.0717065,2.6
1698307782.1173713,2.76
1698307794.607471,4.44
1698307807.2712855,4.56
1698307820.3599005,4.4
1698307833.1500938,4.16
1698307845.7268727,4.44
1698307858.2622714,4.08
1698307871.0572863,4.48
1698307883.8253736,4.48
1698307896.3968627,4.76
1698307910.4098024,4.56
1698307923.3211389,4.4
1698307938.4488614,4.12
1698307951.9414623,4.0
1698307966.5676346,4.0
1698307979.1142046,4.24
1698307992.4378011,4.04
1698308005.4631186,4.4
1698308028.6466575,4.32
1698308042.2298987,4.64
1698308054.7223363,4.76
1698308068.5807667,4.32
1698308081.0807734,4.08
1698308093.7760696,4.52
1698308106.9688401,4.32
1698308119.4091666,4.64
1698308131.894193,4.28
1698308144.4031456,4.84
1698308156.895642,4.64
1698308174.1692848,4.2
1698308186.6181753,4.16
1698308199.0984674,3.64
1698308216.110006,3.2
1698308228.6085992,3.88
1698308241.3395164,4.96
1698308253.8401194,4.76
1698308267.9746675,4.4
1698308280.4832351,4.84
1698308292.9802077,5.08
1698308305.522257,5.04
1698308317.9854946,4.8
1698308330.8305874,4.8
1698308343.3256347,4.68
1698308355.8266299,4.84
1698308368.710702,4.68
1698308381.5352433,4.76
1698308394.161876,4.28
1698308406.6568096,4.36
1698308433.5118656,3.76
1698308446.037014,3.84
1698308459.9160433,4.4
1698308475.7635434,4.0
1698308491.306756,3.52
1698308503.831872,4.32
1698308516.3105245,4.96
1698308528.8036888,5.0
1698308541.3276353,5.04
1698308554.401307,4.4
1698308566.870055,3.92
1698308579.4609678,4.6
1698308591.9587255,4.92
1698308604.4651456,4.76
1698308616.9819584,4.52
1698308631.2389836,4.68
1698308643.7572484,4.52
1698308656.2658725,4.28
1698308669.016333,4.56
1698308681.4328918,4.8
1698308693.9111965,4.84
1698308706.4434986,5.0
1698308718.9367743,5.04
1698308731.4418533,4.72
1698308743.942833,4.92
1698308756.3890448,4.56
1698308768.902672,4.32
1698308781.5298636,4.0
1698308793.9979434,4.28
1698308806.5047584,4.68
1698308818.975609,4.56
1698308831.476928,4.72
1698308843.998953,4.72
1698308856.4869502,4.88
1698308869.6054168,4.8
1698308882.1128051,5.12
1698308894.6319234,4.84
1698308907.2719877,4.64
1698308919.7830918,4.36
1698308932.2945664,4.92
1698308944.7675574,5.04
1698308957.2960467,4.64
1698308969.787215,4.68
1698308982.2581606,4.72
1698308994.7477705,4.08
1698309107.3326285,4.0
1698309120.3568192,4.48
1698309135.874306,4.48
1698309164.0510921,4.08
1698309193.8417027,3.72
1698309212.1905005,3.56
1698309232.599694,3.6
1698309252.8716812,3.6
1698309265.3503015,3.76
1698309277.8914504,3.36
1698309290.312887,2.6
1698309302.8233972,2.08
1698309315.4398155,1.4
1698309337.5406046,1.24
1698309350.0262558,3.28
1698309364.01952,4.32
1698309377.3948622,4.04
1698309390.3325882,4.92
1698309402.834883,4.92
1698309415.3324158,5.04
1698309428.0249605,5.08
1698309440.524355,4.8
1698309453.0512824,4.64
1698309465.511071,4.88
1698309478.0152621,4.88
1698309490.5125387,4.56
1698309505.3104746,4.68
1698309517.80927,4.8
1698309530.2956238,4.56
1698309542.8080566,4.52
1698309555.3356736,4.6
1698309567.8359191,4.96
1698309592.0391517,4.68
1698309604.52729,4.72
1698309620.5869832,4.6
1698309661.4109688,4.16
1698309684.836443,4.16
1698309697.307455,4.84
1698309709.7993643,3.6
1698309723.069946,3.56
1698309735.537521,3.64
1698309748.0246718,3.92
1698309760.4976912,3.6
1698309772.9784157,2.48
1698309786.1908205,1.36
1698309798.9983776,1.0
1698309816.4181726,1.4
1698309835.1689093,1.2
1698309861.9057603,2.72
1698309879.335067,3.16
1698309892.2913737,1.6
1698309914.6193776,0.52
1698309941.199382,0.96
1698309964.3988042,1.76
1698309976.8982089,3.16
1698309989.3958108,4.64
1698310003.4980135,4.68
1698310204.5890074,4.12
1698310231.015701,3.16
1698310245.7648401,2.48
1698310259.0966196,1.28
1698310273.6401274,0.6
1698310291.5096734,0.56
1698310323.0041256,0.48
1698310339.3985226,0.64
1698310356.7983263,1.84
1698310435.5758939,2.72
1698310456.4123373,2.28
1698310469.4271505,3.56
1698310491.580295,3.8
1698310513.603432,2.68
1698310586.4537377,3.6
1698310626.6700215,4.24
1698310646.9417624,4.28
1698310689.6730146,4.24
1698310713.7565894,4.24
1698310726.6578035,4.76
1698310793.0373478,4.28
1698310807.7751036,4.56
1698310820.2441757,4.8
1698310832.7339976,4.56
1698310845.2384317,5.0
1698310857.726439,4.92
1698310876.498292,4.84
1698310888.9922674,4.64
1698310941.135022,3.88
1698310978.5111806,3.48
1698310992.8577518,3.36
1698311005.5030198,3.88
1698311017.99322,4.76
1698311030.9076905,3.8
1698311045.2089248,1.28
1698311057.7074718,0.52
1698311070.197477,0.64
1698311083.426863,0.64
1698311095.938958,2.24
1698311109.5828054,3.88
1698311122.0824223,3.28
1698311134.58623,3.76
1698311147.0722287,4.44
1698311161.7740228,4.44
1698311175.023552,4.72
1698311187.5131545,4.68
1698311200.0081358,4.56
1698311212.8391497,4.2
1698311261.4651208,3.04
1698311276.2796476,2.56
1698311311.8636754,3.32
1698311324.6740289,3.84
1698311338.244634,3.6
1698311350.7351558,2.56
1698311363.3525574,2.72
1698311376.0671632,2.76
1698311388.5668652,2.24
1698311401.9708416,2.48
1698311414.4816217,3.28
1698311427.699438,3.16
1698311440.2030685,2.4
1698311452.6979003,2.84
1698311465.1945229,2.08
1698311478.379719,1.88
1698311492.0496333,2.2
1698311504.5477371,3.52
1698311517.4479969,4.44
1698311529.9473245,3.96
1698311542.4172437,3.92
1698311554.9301002,4.04
1698311567.414842,4.36
1698311580.11628,4.2
1698311593.3800843,4.12
1698311608.2385426,4.48
1698311621.2064598,4.56
1698311659.4568076,3.48
1698311723.2361526,3.68
1698311736.3488157,4.28
1698311748.8382914,4.72
1698311761.6781883,4.96
1698311774.179924,4.36
1698311787.87605,4.28
1698311821.0128696,4.24
1698311833.5693703,4.28
1698311846.152762,4.28
1698311858.932762,4.08
1698311872.3483822,3.76
1698311885.3431168,3.64
1698311899.4779117,3.12
1698311914.209413,1.32
