time,value
1696500047.6511943,8.549999999999999
1696500051.0484948,9.15
1696500068.0962594,6.449999999999999
1696500071.4179251,6.8999999999999995
1696500074.9313455,7.6499999999999995
1696500082.2875752,6.449999999999999
1696500085.64581,7.35
1696500088.9613905,7.5
1696500093.2828205,4.95
1696500096.5834596,6.8999999999999995
1696500099.926354,7.35
1696500104.1172602,6.3
1696500107.427187,8.4
1696500110.7699437,9.6
1696500114.1239574,9.15
1696500118.0795827,7.35
1696500122.186869,4.5
1696500127.4229934,3.15
1696500132.72546,2.85
1696500138.2573807,3.15
1696500141.6679177,5.55
1696500144.9993744,5.85
1696500148.3396683,6.449999999999999
1696500153.3131666,4.5
1696500156.6098008,3.9
1696500160.754215,7.949999999999999
1696500164.0895174,8.7
1696500167.3948264,8.85
1696500170.920582,9.299999999999999
1696500174.2206743,9.299999999999999
1696500178.15173,8.1
1696500181.4754524,7.949999999999999
1696500184.811201,9.15
1696500188.1771328,7.949999999999999
1696500191.479709,8.4
1696500194.8102553,9.15
1696500198.164639,7.8
1696500201.4687638,6.8999999999999995
1696500204.8388035,7.6499999999999995
1696500208.1476235,7.949999999999999
1696500211.4722826,7.199999999999999
1696500214.808377,7.5
1696500218.1431217,7.8
1696500221.4733121,8.25
1696500224.8025348,6.8999999999999995
1696500228.1335275,6.8999999999999995
1696500231.479876,6.449999999999999
1696500234.800881,5.55
1696500238.1332226,5.25
1696500241.464857,6.8999999999999995
1696500244.8082821,6.449999999999999
1696500248.1442962,6.3
1696500251.4665658,8.25
1696500254.8107054,7.6499999999999995
1696500258.531367,7.05
1696500261.8563926,8.549999999999999
1696500265.183567,9.15
1696500268.519802,9.299999999999999
1696500271.8593185,9.0
1696500275.191129,9.0
1696500278.5442333,7.05
1696500281.8522573,6.0
1696500285.1830082,6.1499999999999995
1696500288.5390077,7.6499999999999995
1696500291.8484075,9.0
1696500295.4992983,8.25
1696500298.839423,8.7
1696500302.1918867,7.949999999999999
1696500305.5272775,5.55
1696500308.8415725,5.25
1696500312.1643283,3.3
1696500315.5091934,4.05
1696500318.840516,6.1499999999999995
1696500323.5331306,6.449999999999999
1696500329.7630343,5.55
